time,open,high,low,close,tick_volume,spread
1755121800,172.497,172.509,172.493,172.5,327,1
1755122100,172.499,172.52,172.483,172.501,403,1
1755122400,172.501,172.536,172.497,172.513,289,8
1755122700,172.512,172.517,172.492,172.503,183,1
1755123000,172.505,172.529,172.502,172.529,144,1
1755123300,172.53,172.543,172.525,172.53,233,1
1755123600,172.53,172.53,172.495,172.504,264,1
1755123900,172.506,172.506,172.483,172.487,221,3
1755124200,172.49,172.501,172.481,172.487,250,1
1755124500,172.487,172.487,172.469,172.475,257,1
1755124800,172.475,172.49,172.467,172.486,326,1
1755125100,172.487,172.505,172.48,172.494,197,1
1755125400,172.502,172.506,172.488,172.497,247,1
1755125700,172.499,172.518,172.486,172.502,380,1
1755126000,172.502,172.527,172.493,172.525,260,5
1755126300,172.525,172.542,172.502,172.502,247,1
1755126600,172.502,172.519,172.502,172.514,141,1
1755126900,172.514,172.524,172.498,172.502,139,1
1755127200,172.502,172.521,172.499,172.518,123,1
1755127500,172.518,172.518,172.469,172.471,235,1
1755127800,172.47,172.514,172.468,172.508,181,1
1755128100,172.51,172.513,172.486,172.489,200,1
1755128400,172.477,172.486,172.465,172.465,180,24
1755128700,172.463,172.467,172.442,172.463,244,24
1755129000,172.463,172.517,172.458,172.513,229,24
1755129300,172.512,172.535,172.483,172.497,307,24
1755129600,172.421,172.488,172.338,172.361,15,169
1755129900,172.361,172.492,172.334,172.348,134,150
1755130200,172.348,172.407,172.346,172.374,115,176
1755130500,172.376,172.422,172.349,172.375,109,149
1755130800,172.373,172.422,172.372,172.421,136,149
1755131100,172.422,172.445,172.405,172.443,98,126
1755131400,172.443,172.445,172.411,172.414,106,93
1755131700,172.415,172.423,172.41,172.417,122,86
1755132000,172.422,172.44,172.406,172.407,181,86
1755132300,172.406,172.431,172.406,172.418,61,86
1755132600,172.418,172.423,172.395,172.397,149,86
1755132900,172.397,172.416,172.286,172.345,210,86
1755133200,172.353,172.43,172.351,172.389,192,47
1755133500,172.389,172.425,172.375,172.418,84,2
1755133800,172.418,172.421,172.403,172.417,112,2
1755134100,172.416,172.42,172.403,172.412,314,2
1755134400,172.413,172.424,172.408,172.419,303,2
1755134700,172.419,172.428,172.414,172.427,199,2
1755135000,172.426,172.429,172.412,172.419,93,2
1755135300,172.416,172.424,172.395,172.413,149,2
1755135600,172.412,172.429,172.405,172.425,100,2
1755135900,172.425,172.425,172.405,172.412,90,2
1755136200,172.412,172.42,172.402,172.414,81,2
1755136500,172.414,172.422,172.408,172.413,87,2
1755136800,172.413,172.413,172.379,172.38,141,3
1755137100,172.381,172.388,172.352,172.358,147,6
1755137400,172.359,172.383,172.356,172.37,124,6
1755137700,172.37,172.419,172.365,172.397,182,6
1755138000,172.396,172.405,172.379,172.394,138,5
1755138300,172.393,172.396,172.357,172.36,176,4
1755138600,172.36,172.374,172.334,172.337,170,3
1755138900,172.337,172.366,172.332,172.365,138,2
1755139200,172.357,172.378,172.35,172.351,151,2
1755139500,172.352,172.356,172.339,172.352,181,2
1755139800,172.352,172.359,172.337,172.341,107,2
1755140100,172.341,172.342,172.305,172.312,158,2
1755140400,172.311,172.313,172.097,172.122,594,6
1755140700,172.122,172.134,171.992,172.023,550,12
1755141000,172.022,172.079,172.003,172.037,494,9
1755141300,172.036,172.037,171.903,171.964,564,9
1755141600,171.965,171.992,171.932,171.955,510,7
1755141900,171.956,171.971,171.914,171.942,497,6
1755142200,171.942,171.992,171.898,171.972,552,7
1755142500,171.974,171.974,171.843,171.876,549,7
1755142800,171.875,171.892,171.823,171.847,509,5
1755143100,171.842,171.86,171.801,171.82,536,3
1755143400,171.82,171.835,171.738,171.738,657,2
1755143700,171.736,171.804,171.727,171.792,634,7
1755144000,171.791,171.803,171.611,171.663,741,9
1755144300,171.666,171.708,171.646,171.695,649,5
1755144600,171.695,171.699,171.526,171.564,776,3
1755144900,171.564,171.587,171.499,171.521,728,7
1755145200,171.521,171.556,171.487,171.546,610,9
1755145500,171.546,171.603,171.537,171.567,499,2
1755145800,171.567,171.705,171.556,171.705,824,2
1755146100,171.705,171.705,171.624,171.656,629,2
1755146400,171.657,171.657,171.588,171.626,511,2
1755146700,171.623,171.623,171.535,171.542,555,2
1755147000,171.543,171.59,171.468,171.557,671,2
1755147300,171.556,171.61,171.552,171.591,560,2
1755147600,171.592,171.684,171.592,171.677,542,2
1755147900,171.677,171.68,171.611,171.646,518,2
1755148200,171.646,171.65,171.583,171.59,462,2
1755148500,171.59,171.676,171.59,171.646,544,2
1755148800,171.646,171.662,171.61,171.652,465,2
1755149100,171.651,171.712,171.648,171.708,524,2
1755149400,171.706,171.712,171.645,171.647,483,2
1755149700,171.646,171.661,171.62,171.642,359,2
1755150000,171.638,171.643,171.598,171.598,185,2
1755150300,171.598,171.643,171.592,171.638,319,2
1755150600,171.638,171.683,171.626,171.661,340,2
1755150900,171.661,171.709,171.643,171.707,437,5
1755151200,171.707,171.71,171.641,171.654,399,4
1755151500,171.658,171.721,171.658,171.715,281,2
1755151800,171.708,171.72,171.666,171.666,371,2
1755152100,171.669,171.677,171.623,171.672,400,2
1755152400,171.671,171.692,171.661,171.662,253,2
1755152700,171.661,171.662,171.63,171.657,352,2
1755153000,171.657,171.66,171.603,171.631,364,7
1755153300,171.632,171.639,171.542,171.569,368,2
1755153600,171.569,171.57,171.528,171.546,419,2
1755153900,171.545,171.58,171.545,171.558,243,2
1755154200,171.56,171.579,171.511,171.52,325,2
1755154500,171.518,171.555,171.511,171.517,376,2
1755154800,171.517,171.533,171.479,171.479,278,2
1755155100,171.48,171.515,171.473,171.483,286,2
1755155400,171.482,171.491,171.39,171.391,273,2
