time,open,high,low,close,tick_volume,spread
1522706400,1.60723,1.6072899999999999,1.60541,1.60562,14520,0
1522710000,1.6056300000000001,1.60678,1.60547,1.60569,5448,0
1522713600,1.60468,1.6064699999999998,1.6044,1.60562,4961,5
1522717200,1.60558,1.6067399999999998,1.60538,1.60621,3936,2
1522720800,1.60621,1.60646,1.6055899999999999,1.60632,4737,0
1522724400,1.60633,1.60633,1.6038999999999999,1.60468,9110,0
1522728000,1.60468,1.6049,1.60324,1.604,10093,0
1522731600,1.60399,1.60429,1.60248,1.60286,7582,0
1522735200,1.60286,1.6031900000000001,1.60158,1.60175,6241,0
1522738800,1.60174,1.60182,1.5997,1.601,6923,0
1522742400,1.60099,1.60226,1.60012,1.60162,8505,0
1522746000,1.6015899999999998,1.6017700000000001,1.59815,1.5994000000000002,17133,0
1522749600,1.59939,1.60248,1.5991900000000001,1.60163,16567,0
1522753200,1.60161,1.60262,1.60068,1.6017700000000001,15217,0
1522756800,1.6017700000000001,1.6018400000000002,1.60049,1.60126,13567,0
1522760400,1.60126,1.6020400000000001,1.59937,1.59982,13094,0
1522764000,1.59982,1.6021100000000001,1.59947,1.60102,15025,0
1522767600,1.60101,1.6011600000000001,1.59661,1.59724,18396,0
1522771200,1.59724,1.59816,1.59362,1.59498,27260,0
1522774800,1.59496,1.59968,1.59491,1.59946,27990,0
1522778400,1.59945,1.59968,1.59646,1.59789,21032,0
1522782000,1.59789,1.59795,1.5957,1.59636,13561,0
1522785600,1.5963699999999998,1.59688,1.59575,1.59606,12672,0
1522789200,1.59607,1.5981100000000001,1.59564,1.59708,14063,0
1522792800,1.5970900000000001,1.59744,1.5954000000000002,1.5965099999999999,18531,0
1522796400,1.5965099999999999,1.59738,1.5960999999999999,1.5965500000000001,4783,0
1522800000,1.5961400000000001,1.597,1.59605,1.59636,7116,0
1522803600,1.5963500000000002,1.5968900000000001,1.5958700000000001,1.59681,4416,0
1522807200,1.59683,1.5984099999999999,1.5964,1.5984,3496,0
1522810800,1.5983800000000001,1.59851,1.59659,1.59714,8331,0
1522814400,1.59707,1.59823,1.59415,1.59419,12153,0
1522818000,1.5941999999999998,1.59432,1.59196,1.59327,11168,0
1522821600,1.59327,1.59397,1.5921699999999999,1.59243,6978,0
1522825200,1.59242,1.59331,1.59202,1.59331,4828,0
1522828800,1.59331,1.5951,1.5931600000000001,1.5945399999999998,9062,0
1522832400,1.5945399999999998,1.59569,1.59425,1.59449,13224,0
1522836000,1.59448,1.60178,1.59351,1.6015899999999998,22537,0
1522839600,1.6016,1.6057299999999999,1.6006200000000002,1.60101,26189,0
1522843200,1.60097,1.6029,1.59992,1.60083,14679,0
1522846800,1.6008200000000001,1.60314,1.59947,1.6008,17848,0
1522850400,1.6008,1.6016,1.59836,1.5998,15133,0
1522854000,1.59979,1.6005099999999999,1.59727,1.60039,21305,0
1522857600,1.6004,1.60097,1.59729,1.5986500000000001,23991,0
1522861200,1.5986500000000001,1.60033,1.59467,1.59702,30224,0
1522864800,1.59701,1.59912,1.59562,1.596,20664,0
1522868400,1.5960100000000002,1.59639,1.5949,1.59545,14250,0
1522872000,1.59544,1.59661,1.59496,1.5950199999999999,13183,0
1522875600,1.5950199999999999,1.59509,1.5925799999999999,1.5934,13660,0
1522879200,1.5934,1.59395,1.59013,1.59179,13119,0
1522882800,1.59181,1.59212,1.5910600000000001,1.59125,5116,0
1522886400,1.59077,1.59216,1.59073,1.59154,5584,2
1522890000,1.59154,1.5915599999999999,1.58996,1.59033,4682,0
1522893600,1.59029,1.59205,1.5899100000000002,1.59151,4403,0
1522897200,1.59151,1.59409,1.59091,1.59209,11229,0
1522900800,1.59207,1.5944099999999999,1.59206,1.59287,9615,0
1522904400,1.59287,1.59365,1.59166,1.5936,6880,0
1522908000,1.5935899999999998,1.59569,1.59348,1.59485,7364,0
1522911600,1.5948600000000002,1.59735,1.59471,1.5960100000000002,7930,0
1522915200,1.5960100000000002,1.5969600000000002,1.59551,1.59612,7277,0
1522918800,1.59611,1.59639,1.59348,1.59368,12998,0
1522922400,1.59369,1.59476,1.593,1.59408,17601,0
1522926000,1.59408,1.5968900000000001,1.59324,1.59652,12435,0
1522929600,1.5965099999999999,1.5991300000000002,1.59619,1.5979700000000001,13024,0
1522933200,1.59799,1.5985200000000002,1.59663,1.59742,10398,0
1522936800,1.59741,1.59754,1.5937299999999999,1.59482,12694,0
1522940400,1.59482,1.5950600000000001,1.5928,1.5944500000000001,22408,0
1522944000,1.59444,1.5951,1.5929,1.5931199999999999,21006,0
1522947600,1.5931199999999999,1.59341,1.5909499999999999,1.5911499999999998,26928,0
1522951200,1.59114,1.5917400000000002,1.59029,1.5908,17554,0
1522954800,1.5908099999999998,1.59348,1.59067,1.5930900000000001,14370,0
1522958400,1.5930900000000001,1.59386,1.59172,1.59303,14287,0
1522962000,1.59304,1.5934,1.59222,1.59261,11632,0
1522965600,1.59261,1.59363,1.5923,1.5932300000000001,7210,0
1522969200,1.59326,1.59395,1.5922800000000001,1.5925500000000001,4926,0
1522972800,1.5923699999999998,1.59322,1.59189,1.59268,5075,0
1522976400,1.59268,1.5973000000000002,1.5924,1.59699,6750,0
1522980000,1.597,1.59977,1.5966200000000002,1.5972499999999998,13621,0
1522983600,1.5972300000000001,1.59738,1.59485,1.5951,14379,0
1522987200,1.59508,1.59631,1.5940699999999999,1.5948,15628,0
1522990800,1.5948,1.59537,1.5938400000000001,1.59394,8928,0
1522994400,1.59394,1.59473,1.59292,1.59422,9556,0
1522998000,1.59421,1.59436,1.59299,1.59412,9743,0
1523001600,1.59413,1.5955,1.59376,1.59419,10473,0
1523005200,1.59419,1.59559,1.59356,1.59543,17816,0
1523008800,1.59543,1.5955,1.59199,1.59206,18197,0
1523012400,1.59207,1.5929,1.5913,1.5920299999999998,13862,0
1523016000,1.59202,1.593,1.59148,1.59294,11494,0
1523019600,1.59292,1.59406,1.59292,1.5935000000000001,10592,0
1523023200,1.59351,1.5944099999999999,1.5930499999999999,1.59325,11881,0
1523026800,1.59325,1.5945,1.5916299999999999,1.59249,33483,0
1523030400,1.5925,1.59588,1.59245,1.59475,34252,0
1523034000,1.59474,1.5981,1.59422,1.5959400000000001,26192,0
1523037600,1.5959400000000001,1.59805,1.59582,1.59761,22243,0
1523041200,1.59758,1.59925,1.59729,1.59764,18010,0
1523044800,1.59764,1.60015,1.5974300000000001,1.6001400000000001,17348,0
1523048400,1.6001699999999999,1.6020400000000001,1.5996700000000001,1.60181,16888,0
1523052000,1.6018,1.6022699999999999,1.5993,1.60025,16934,0
1523055600,1.6002399999999999,1.60093,1.59965,1.59982,4904,0
1523232000,1.59925,1.60067,1.59735,1.6002999999999998,1200,2
1523235600,1.60036,1.60046,1.5981999999999998,1.59878,3771,0
1523239200,1.59877,1.59894,1.59721,1.5981,7138,0
1523242800,1.59812,1.59836,1.5957,1.5957599999999998,11728,0
1523246400,1.59575,1.5969,1.59544,1.59672,12576,0
1523250000,1.5966900000000002,1.5971600000000001,1.59579,1.5964800000000001,7821,0
1523253600,1.59649,1.59666,1.59477,1.59527,8897,0
1523257200,1.59525,1.59638,1.59484,1.59599,5207,0
1523260800,1.59598,1.59752,1.59568,1.59707,7489,0
