time,open,high,low,close,tick_volume,spread,real_volume
2022-04-19 08:15:00+00:00,1.01873,1.01907,1.01868,1.01888,453,1,0
2022-04-19 08:30:00+00:00,1.01888,1.0191,1.01883,1.01891,362,2,0
2022-04-19 08:45:00+00:00,1.01889,1.01919,1.01879,1.01895,311,3,0
2022-04-19 09:00:00+00:00,1.01889,1.01892,1.01842,1.01879,479,0,0
2022-04-19 09:15:00+00:00,1.01879,1.01932,1.01871,1.01913,419,1,0
2022-04-19 09:30:00+00:00,1.01912,1.01967,1.01912,1.01967,419,0,0
2022-04-19 09:45:00+00:00,1.01967,1.0198,1.01882,1.01903,512,0,0
2022-04-19 10:00:00+00:00,1.01904,1.01957,1.01832,1.01891,956,0,0
2022-04-19 10:15:00+00:00,1.01889,1.01983,1.01842,1.01971,846,0,0
2022-04-19 10:30:00+00:00,1.01972,1.01997,1.01946,1.01946,714,0,0
2022-04-19 10:45:00+00:00,1.01946,1.02028,1.0194,1.0201,815,0,0
2022-04-19 11:00:00+00:00,1.02011,1.02021,1.01962,1.02014,724,0,0
2022-04-19 11:15:00+00:00,1.02016,1.02098,1.0201500000000001,1.02075,707,0,0
2022-04-19 11:30:00+00:00,1.0207600000000001,1.02203,1.02073,1.02174,885,0,0
2022-04-19 11:45:00+00:00,1.02174,1.02277,1.02118,1.02276,992,0,0
2022-04-19 12:00:00+00:00,1.02274,1.02279,1.02167,1.02168,710,0,0
2022-04-19 12:15:00+00:00,1.02168,1.02223,1.02136,1.02157,577,0,0
2022-04-19 12:30:00+00:00,1.02156,1.02193,1.02138,1.02192,624,0,0
2022-04-19 12:45:00+00:00,1.02191,1.02237,1.02185,1.0222,572,0,0
2022-04-19 13:00:00+00:00,1.0222,1.02265,1.02182,1.02196,898,0,0
2022-04-19 13:15:00+00:00,1.02196,1.02274,1.02192,1.02227,761,0,0
2022-04-19 13:30:00+00:00,1.02226,1.02306,1.02176,1.02303,508,0,0
2022-04-19 13:45:00+00:00,1.02302,1.02391,1.02278,1.02388,583,0,0
2022-04-19 14:00:00+00:00,1.02388,1.02424,1.02347,1.02361,603,0,0
2022-04-19 14:15:00+00:00,1.02361,1.02395,1.02361,1.02369,566,0,0
2022-04-19 14:30:00+00:00,1.02368,1.02377,1.0231,1.02344,446,0,0
2022-04-19 14:45:00+00:00,1.02346,1.0236,1.02192,1.02198,922,0,0
2022-04-19 15:00:00+00:00,1.02197,1.02234,1.02078,1.02084,946,0,0
2022-04-19 15:15:00+00:00,1.0208,1.02143,1.01986,1.02114,896,0,0
2022-04-19 15:30:00+00:00,1.02115,1.0213700000000001,1.01912,1.0202,982,0,0
2022-04-19 15:45:00+00:00,1.02023,1.02077,1.01863,1.01965,1012,0,0
2022-04-19 16:00:00+00:00,1.01962,1.02097,1.01962,1.02082,1096,0,0
2022-04-19 16:15:00+00:00,1.02081,1.02144,1.0206,1.02114,734,0,0
2022-04-19 16:30:00+00:00,1.02113,1.02229,1.02107,1.02213,1094,0,0
2022-04-19 16:45:00+00:00,1.02214,1.02333,1.02203,1.02333,1117,0,0
2022-04-19 17:00:00+00:00,1.02333,1.02343,1.02221,1.02256,964,0,0
2022-04-19 17:15:00+00:00,1.02256,1.02259,1.02179,1.02243,977,0,0
2022-04-19 17:30:00+00:00,1.02244,1.02267,1.02191,1.02263,982,0,0
2022-04-19 17:45:00+00:00,1.02261,1.02413,1.02253,1.02387,1076,0,0
2022-04-19 18:00:00+00:00,1.02384,1.02415,1.0236,1.02404,759,0,0
2022-04-19 18:15:00+00:00,1.02404,1.02451,1.02393,1.02416,976,0,0
2022-04-19 18:30:00+00:00,1.02418,1.02424,1.02341,1.02341,616,0,0
2022-04-19 18:45:00+00:00,1.02342,1.0235,1.02303,1.02304,628,0,0
2022-04-19 19:00:00+00:00,1.02303,1.02404,1.02293,1.02404,823,0,0
2022-04-19 19:15:00+00:00,1.02403,1.02418,1.02356,1.02399,457,1,0
2022-04-19 19:30:00+00:00,1.02399,1.0246,1.02388,1.0245,343,0,0
2022-04-19 19:45:00+00:00,1.02451,1.02499,1.02436,1.02495,458,0,0
2022-04-19 20:00:00+00:00,1.02495,1.02519,1.0248,1.02518,575,0,0
2022-04-19 20:15:00+00:00,1.0253,1.02567,1.02524,1.02524,428,0,0
2022-04-19 20:30:00+00:00,1.02523,1.02545,1.02509,1.02533,426,0,0
