time,open,high,low,close,tick_volume,spread,real_volume,t
1344211200,6919.5,6926.5,6919.0,6922.0,464,0,0,2012-08-06 00:00:00+00:00
1344297600,6903.2,6988.8,6896.7,6955.9,14831,0,0,2012-08-07 00:00:00+00:00
1344384000,6955.3,6970.8,6907.3,6940.5,14652,0,0,2012-08-08 00:00:00+00:00
1344470400,6939.9,7002.0,6890.3,6952.5,15337,0,0,2012-08-09 00:00:00+00:00
1344556800,6954.3,6954.3,6925.4,6929.0,13009,0,0,2012-08-10 00:00:00+00:00
1344816000,6962.9,6977.8,6881.8,6929.7,13382,0,0,2012-08-13 00:00:00+00:00
1344902400,6929.1,6995.3,6928.5,6948.6,13624,0,0,2012-08-14 00:00:00+00:00
1344988800,6948.0,6973.5,6909.8,6947.0,12638,0,0,2012-08-15 00:00:00+00:00
1345075200,6948.2,7017.3,6927.8,6996.4,13169,0,0,2012-08-16 00:00:00+00:00
1345161600,6997.0,7001.2,6990.4,6994.0,12391,0,0,2012-08-17 00:00:00+00:00
1345420800,7066.7,7085.8,7009.8,7031.2,12420,0,0,2012-08-20 00:00:00+00:00
1345507200,7030.6,7105.8,7024.0,7057.2,13557,0,0,2012-08-21 00:00:00+00:00
1345593600,7056.6,7060.5,7005.0,7044.0,15417,0,0,2012-08-22 00:00:00+00:00
1345680000,7043.4,7081.5,6922.3,6943.6,15313,0,0,2012-08-23 00:00:00+00:00
1345766400,6944.8,6947.8,6937.6,6944.8,14105,0,0,2012-08-24 00:00:00+00:00
1346025600,6978.0,7050.0,6944.8,7012.2,12360,0,0,2012-08-27 00:00:00+00:00
1346112000,7012.8,7030.5,6974.8,7007.4,14268,0,0,2012-08-28 00:00:00+00:00
1346198400,7008.0,7030.8,6946.0,6994.3,12943,0,0,2012-08-29 00:00:00+00:00
1346284800,6994.9,6996.7,6870.0,6884.0,13429,0,0,2012-08-30 00:00:00+00:00
1346371200,6885.8,6896.6,6882.2,6891.8,15063,0,0,2012-08-31 00:00:00+00:00
1346630400,6961.0,7017.5,6919.4,7000.1,10043,0,0,2012-09-03 00:00:00+00:00
1346716800,7000.7,7024.1,6918.8,6957.6,14558,0,0,2012-09-04 00:00:00+00:00
1346803200,6956.4,7002.5,6892.5,6960.8,15958,0,0,2012-09-05 00:00:00+00:00
1346889600,6961.4,7173.3,6958.4,7160.9,16219,0,0,2012-09-06 00:00:00+00:00
1346976000,7160.3,7167.5,7157.9,7165.7,15304,0,0,2012-09-07 00:00:00+00:00
1347235200,7222.6,7233.5,7167.0,7180.0,11894,0,0,2012-09-10 00:00:00+00:00
1347321600,7181.2,7313.8,7157.2,7280.3,14178,0,0,2012-09-11 00:00:00+00:00
1347408000,7280.9,7410.0,7279.1,7346.5,16408,0,0,2012-09-12 00:00:00+00:00
1347494400,7345.9,7404.5,7279.3,7378.5,15259,0,0,2012-09-13 00:00:00+00:00
1347580800,7379.1,7389.3,7377.3,7387.5,15799,0,0,2012-09-14 00:00:00+00:00
1347840000,7379.9,7414.0,7365.2,7387.2,12617,0,0,2012-09-17 00:00:00+00:00
1347926400,7387.8,7395.0,7304.8,7356.5,13793,0,0,2012-09-18 00:00:00+00:00
1348012800,7357.1,7403.7,7326.3,7372.7,13914,0,0,2012-09-19 00:00:00+00:00
1348099200,7372.1,7405.7,7312.8,7400.3,13917,0,0,2012-09-20 00:00:00+00:00
1348185600,7399.7,7418.7,7399.7,7415.7,15423,0,0,2012-09-21 00:00:00+00:00
1348444800,7435.9,7440.7,7387.0,7426.7,14269,0,0,2012-09-24 00:00:00+00:00
1348531200,7427.3,7448.4,7344.0,7354.2,15597,0,0,2012-09-25 00:00:00+00:00
1348617600,7354.8,7370.5,7255.3,7284.1,15531,0,0,2012-09-26 00:00:00+00:00
1348704000,7285.3,7346.0,7266.8,7332.9,16074,0,0,2012-09-27 00:00:00+00:00
1348790400,7332.3,7336.5,7322.7,7330.5,16994,0,0,2012-09-28 00:00:00+00:00
1349049600,7213.7,7337.8,7198.3,7273.8,16576,0,0,2012-10-01 00:00:00+00:00
1349136000,7274.4,7371.5,7265.3,7314.0,16422,0,0,2012-10-02 00:00:00+00:00
1349222400,7313.4,7339.5,7270.8,7331.6,15754,0,0,2012-10-03 00:00:00+00:00
1349308800,7331.0,7373.8,7282.8,7325.9,15906,0,0,2012-10-04 00:00:00+00:00
1349395200,7326.5,7336.4,7324.1,7332.8,14704,0,0,2012-10-05 00:00:00+00:00
1349654400,7350.3,7355.0,7284.3,7289.9,13557,0,0,2012-10-08 00:00:00+00:00
1349740800,7290.5,7325.8,7201.3,7201.9,15828,0,0,2012-10-09 00:00:00+00:00
1349827200,7202.5,7245.8,7167.5,7172.9,16190,0,0,2012-10-10 00:00:00+00:00
1349913600,7172.3,7305.3,7171.7,7260.6,15048,0,0,2012-10-11 00:00:00+00:00
1350000000,7261.2,7290.3,7229.0,7233.4,15565,0,0,2012-10-12 00:00:00+00:00
1350259200,7211.9,7302.3,7209.3,7298.9,14967,0,0,2012-10-15 00:00:00+00:00
1350345600,7298.3,7390.8,7293.5,7386.9,14487,0,0,2012-10-16 00:00:00+00:00
1350432000,7386.3,7397.6,7365.7,7389.4,14444,0,0,2012-10-17 00:00:00+00:00
1350518400,7390.0,7446.8,7384.9,7412.4,15178,0,0,2012-10-18 00:00:00+00:00
1350604800,7413.0,7420.2,7409.4,7410.6,15692,0,0,2012-10-19 00:00:00+00:00
1350864000,7334.4,7390.0,7301.0,7352.2,15556,0,0,2012-10-22 00:00:00+00:00
1350950400,7351.6,7360.7,7152.0,7187.4,17225,0,0,2012-10-23 00:00:00+00:00
1351036800,7186.8,7221.2,7118.0,7169.8,16577,0,0,2012-10-24 00:00:00+00:00
1351123200,7168.6,7256.5,7160.8,7206.5,16553,0,0,2012-10-25 00:00:00+00:00
1351209600,7207.1,7207.7,7181.4,7182.0,17714,0,0,2012-10-26 00:00:00+00:00
1351468800,7221.1,7234.6,7167.5,7171.1,10517,0,0,2012-10-29 00:00:00+00:00
1351555200,7171.7,7292.3,7156.9,7280.7,10494,0,0,2012-10-30 00:00:00+00:00
1351641600,7281.3,7347.3,7252.8,7263.0,15504,0,0,2012-10-31 00:00:00+00:00
1351728000,7263.6,7356.0,7235.3,7330.3,14800,0,0,2012-11-01 00:00:00+00:00
1351814400,7330.9,7337.3,7326.7,7328.9,15222,0,0,2012-11-02 00:00:00+00:00
1352073600,7310.2,7352.8,7304.5,7336.3,13570,0,0,2012-11-05 00:00:00+00:00
1352160000,7336.9,7417.5,7318.3,7402.3,13603,0,0,2012-11-06 00:00:00+00:00
1352246400,7401.7,7436.8,7222.0,7272.7,21149,0,0,2012-11-07 00:00:00+00:00
1352332800,7272.1,7286.0,7182.3,7196.5,18564,0,0,2012-11-08 00:00:00+00:00
1352419200,7195.9,7216.5,7189.9,7208.1,19104,0,0,2012-11-09 00:00:00+00:00
1352678400,7149.5,7201.0,7137.3,7169.7,14651,0,0,2012-11-12 00:00:00+00:00
1352764800,7170.3,7185.3,7074.3,7128.9,18473,0,0,2012-11-13 00:00:00+00:00
1352851200,7128.3,7182.8,7029.8,7045.2,18155,0,0,2012-11-14 00:00:00+00:00
1352937600,7045.8,7078.3,7010.3,7032.3,18073,0,0,2012-11-15 00:00:00+00:00
1353024000,7031.7,7032.3,7017.9,7027.5,18927,0,0,2012-11-16 00:00:00+00:00
1353283200,7021.8,7132.9,7004.9,7105.8,14961,0,0,2012-11-19 00:00:00+00:00
1353369600,7106.4,7186.8,7091.3,7162.4,16327,0,0,2012-11-20 00:00:00+00:00
1353456000,7161.8,7214.8,7123.5,7211.4,15408,0,0,2012-11-21 00:00:00+00:00
1353542400,7210.8,7254.2,7201.4,7251.8,8712,0,0,2012-11-22 00:00:00+00:00
1353628800,7251.2,7256.6,7247.6,7251.8,11154,0,0,2012-11-23 00:00:00+00:00
1353888000,7293.5,7319.8,7273.0,7319.8,13254,0,0,2012-11-26 00:00:00+00:00
1353974400,7319.2,7360.5,7306.0,7315.3,15249,0,0,2012-11-27 00:00:00+00:00
1354060800,7315.9,7385.3,7263.8,7359.2,15982,0,0,2012-11-28 00:00:00+00:00
1354147200,7359.8,7415.8,7359.8,7377.3,15385,0,0,2012-11-29 00:00:00+00:00
1354233600,7376.7,7443.0,7371.3,7423.9,14423,0,0,2012-11-30 00:00:00+00:00
1354492800,7413.8,7487.3,7402.3,7406.5,14727,0,0,2012-12-03 00:00:00+00:00
1354579200,7405.3,7465.3,7397.1,7430.5,14539,0,0,2012-12-04 00:00:00+00:00
1354665600,7429.3,7495.3,7426.9,7477.3,15264,0,0,2012-12-05 00:00:00+00:00
1354752000,7477.9,7555.5,7455.7,7550.5,15515,0,0,2012-12-06 00:00:00+00:00
1354838400,7549.9,7559.1,7549.3,7553.7,14947,0,0,2012-12-07 00:00:00+00:00
1355097600,7520.9,7550.6,7457.3,7535.6,12934,0,0,2012-12-10 00:00:00+00:00
1355184000,7535.0,7616.8,7519.3,7609.2,13066,0,0,2012-12-11 00:00:00+00:00
1355270400,7608.6,7642.5,7585.5,7600.0,12648,0,0,2012-12-12 00:00:00+00:00
1355356800,7600.6,7619.5,7559.4,7585.8,13251,0,0,2012-12-13 00:00:00+00:00
1355443200,7586.4,7594.6,7563.2,7593.4,11965,0,0,2012-12-14 00:00:00+00:00
1355702400,7629.2,7632.2,7564.3,7619.1,12291,0,0,2012-12-17 00:00:00+00:00
1355788800,7622.7,7672.2,7613.7,7657.3,22465,0,0,2012-12-18 00:00:00+00:00
1355875200,7659.1,7682.5,7645.2,7645.8,23413,0,0,2012-12-19 00:00:00+00:00
1355961600,7642.8,7694.0,7630.8,7687.2,24000,0,0,2012-12-20 00:00:00+00:00
1356048000,7689.0,7692.6,7521.2,7652.7,35497,0,0,2012-12-21 00:00:00+00:00
1356566400,7620.5,7675.5,7620.3,7650.6,24224,0,0,2012-12-27 00:00:00+00:00
1356652800,7650.0,7665.0,7487.2,7489.0,22596,0,0,2012-12-28 00:00:00+00:00
1357084800,7732.8,7793.0,7731.5,7777.6,25655,0,0,2013-01-02 00:00:00+00:00
1357171200,7775.2,7777.5,7733.8,7745.8,22706,0,0,2013-01-03 00:00:00+00:00
1357257600,7747.0,7747.6,7739.8,7741.6,23209,0,0,2013-01-04 00:00:00+00:00
1357516800,7771.5,7774.5,7711.8,7727.3,22394,0,0,2013-01-07 00:00:00+00:00
1357603200,7726.7,7754.8,7689.8,7705.2,21210,0,0,2013-01-08 00:00:00+00:00
1357689600,7706.4,7734.3,7688.3,7704.9,20517,0,0,2013-01-09 00:00:00+00:00
1357776000,7705.5,7774.8,7703.3,7731.7,24602,0,0,2013-01-10 00:00:00+00:00
1357862400,7732.3,7746.1,7732.3,7741.3,23505,0,0,2013-01-11 00:00:00+00:00
1358121600,7719.8,7786.3,7701.3,7727.1,20250,0,0,2013-01-14 00:00:00+00:00
1358208000,7727.7,7734.8,7633.5,7693.5,25114,0,0,2013-01-15 00:00:00+00:00
1358294400,7694.1,7703.3,7642.8,7670.3,25318,0,0,2013-01-16 00:00:00+00:00
1358380800,7671.5,7765.8,7661.4,7718.1,23975,0,0,2013-01-17 00:00:00+00:00
1358467200,7719.9,7722.3,7713.9,7716.5,25333,0,0,2013-01-18 00:00:00+00:00
1358726400,7717.4,7749.3,7715.2,7740.0,12338,0,0,2013-01-21 00:00:00+00:00
1358812800,7739.4,7751.8,7633.5,7728.5,26730,0,0,2013-01-22 00:00:00+00:00
1358899200,7730.3,7736.9,7683.5,7697.4,25008,0,0,2013-01-23 00:00:00+00:00
1358985600,7695.6,7751.8,7683.6,7730.2,26342,0,0,2013-01-24 00:00:00+00:00
1359072000,7727.8,7731.4,7725.4,7728.4,28415,0,0,2013-01-25 00:00:00+00:00
