time,open,high,low,close,tick_volume,spread,real_volume,t
1344211200,8763.0,8778.0,8763.0,8773.0,17,0,0,2012-08-06 00:00:00+00:00
1344297600,8732.0,8938.0,8710.0,8880.0,1393,0,0,2012-08-07 00:00:00+00:00
1344384000,8881.0,8965.0,8823.0,8880.0,1364,0,0,2012-08-08 00:00:00+00:00
1344470400,8881.0,9000.0,8848.0,8960.0,1531,0,0,2012-08-09 00:00:00+00:00
1344556800,8961.0,8961.0,8913.0,8935.0,1141,0,0,2012-08-10 00:00:00+00:00
1344816000,8918.0,8928.0,8860.0,8880.0,1064,0,0,2012-08-13 00:00:00+00:00
1344902400,8881.0,8993.0,8873.0,8940.0,1357,0,0,2012-08-14 00:00:00+00:00
1344988800,8941.0,8958.0,8860.0,8935.0,1119,0,0,2012-08-15 00:00:00+00:00
1345075200,8938.0,9143.0,8936.0,9135.0,1254,0,0,2012-08-16 00:00:00+00:00
1345161600,9136.0,9185.0,9090.0,9170.0,1147,0,0,2012-08-17 00:00:00+00:00
1345420800,9213.0,9228.0,9150.0,9195.0,1125,0,0,2012-08-20 00:00:00+00:00
1345507200,9194.0,9248.0,9140.0,9151.0,1093,0,0,2012-08-21 00:00:00+00:00
1345593600,9149.0,9168.0,9033.0,9076.0,1349,0,0,2012-08-22 00:00:00+00:00
1345680000,9073.0,9198.0,9062.0,9098.0,1330,0,0,2012-08-23 00:00:00+00:00
1345766400,9093.0,9093.0,9040.0,9070.0,958,0,0,2012-08-24 00:00:00+00:00
1346025600,9123.0,9158.0,9075.0,9102.0,994,0,0,2012-08-27 00:00:00+00:00
1346112000,9097.0,9134.0,8989.0,9039.0,1278,0,0,2012-08-28 00:00:00+00:00
1346198400,9047.0,9091.0,9031.0,9052.0,1071,0,0,2012-08-29 00:00:00+00:00
1346284800,9054.0,9061.0,8897.0,8912.0,1130,0,0,2012-08-30 00:00:00+00:00
1346371200,8910.0,8929.0,8879.0,8884.0,1451,0,0,2012-08-31 00:00:00+00:00
1346630400,8887.0,8889.0,8747.0,8795.0,808,0,0,2012-09-03 00:00:00+00:00
1346716800,8787.0,8807.0,8717.0,8787.0,1412,0,0,2012-09-04 00:00:00+00:00
1346803200,8782.0,8784.0,8632.0,8692.0,1437,0,0,2012-09-05 00:00:00+00:00
1346889600,8689.0,8857.0,8649.0,8845.0,1725,0,0,2012-09-06 00:00:00+00:00
1346976000,8843.0,8867.0,8801.0,8844.0,1241,0,0,2012-09-07 00:00:00+00:00
1347235200,8865.0,8879.0,8791.0,8806.0,935,0,0,2012-09-10 00:00:00+00:00
1347321600,8809.0,8842.0,8769.0,8797.0,957,0,0,2012-09-11 00:00:00+00:00
1347408000,8792.0,8992.0,8789.0,8947.0,1261,0,0,2012-09-12 00:00:00+00:00
1347494400,8949.0,9099.0,8926.0,9077.0,1739,0,0,2012-09-13 00:00:00+00:00
1347580800,9079.0,9143.0,9079.0,9136.0,1419,0,0,2012-09-14 00:00:00+00:00
