id,symbol,direction,close_reason,partial_closed,actual_pips,t1_pips,t1_outcome,t2_pips,t2_outcome,mfe_pips,giveback_t1,giveback_t2
132,CHFJPY,SHORT,STOP_LOSS,0,-22.5,-22.5,SL,-22.5,SL,41.2,0.0,0.0
133,EURJPY,SHORT,STOP_LOSS,0,-24.7,15.6,TP,30.5,TP,107.8,40.3,55.3
134,CHFJPY,LONG,STOP_LOSS,0,-18.7,-18.7,SL,-18.7,SL,2.7,0.0,0.0
135,GBPJPY,LONG,STOP_LOSS,1,-17.1,-16.5,SL,-16.5,SL,0.0,0.6,0.6
136,NZDUSD,LONG,TRAILING_STOP,1,3.0,5.0,TP,-14.8,SL,13.2,2.0,-17.8
137,EURUSD,SHORT,TARGET_2,1,24.3,11.4,TP,23.3,TP,72.7,-12.9,-0.9
138,NZDUSD,SHORT,STOP_LOSS,0,-11.0,21.6,TP,30.2,TP,63.7,32.6,41.2
139,EURAUD,SHORT,STOP_LOSS,1,-31.7,-31.2,SL,-31.2,SL,1.0,0.5,0.5
140,EURAUD,LONG,TAKE_PROFIT,1,32.0,38.0,TP,-29.1,SL,49.5,6.0,-61.1
141,EURJPY,LONG,STOP_LOSS,1,-17.9,10.6,TP,-17.8,SL,10.6,28.5,0.1
142,EURUSD,SHORT,STOP_LOSS,1,-18.0,-16.2,SL,-16.2,SL,0.0,1.8,1.8
143,CHFJPY,SHORT,TRAILING_STOP,1,27.0,32.5,TP,66.6,TP,126.3,5.5,39.6
144,EURGBP,SHORT,STOP_LOSS,0,-9.6,8.9,TP,17.7,TP,55.1,18.5,27.3
145,USDCHF,SHORT,STOP_LOSS,0,-13.5,-13.5,SL,-13.5,SL,0.0,0.0,0.0
146,GBPJPY,LONG,TRAILING_STOP,1,27.3,30.7,TP,60.1,TP,66.4,3.4,32.9
147,EURAUD,SHORT,TAKE_PROFIT,1,13.6,13.3,TP,21.7,TP,106.5,-0.3,8.1
148,CHFJPY,LONG,BREAKEVEN_SL,1,21.2,-32.2,SL,-32.2,SL,29.1,-53.4,-53.4
149,EURAUD,SHORT,TARGET_2,1,19.8,19.0,TP,18.3,TP,97.9,-0.8,-1.5
150,USDCHF,LONG,BREAKEVEN_SL,1,12.7,-13.3,SL,-13.3,SL,4.8,-26.0,-26.0
151,EURGBP,SHORT,BREAKEVEN_SL,1,5.8,9.6,TP,-10.2,SL,12.6,3.8,-16.0
152,EURAUD,SHORT,INVALIDATION,0,-23.7,-26.7,SL,-26.7,SL,6.8,-3.0,-3.0
157,EURJPY,SHORT,BREAKEVEN_SL,1,28.4,-38.2,SL,-38.2,SL,0.0,-66.6,-66.6
159,USDCHF,LONG,BREAKEVEN_SL,1,9.5,15.9,TP,30.3,TP,31.7,6.4,20.7
160,EURJPY,LONG,TRAILING_STOP,1,3.0,5.0,TP,24.9,TP,66.7,2.0,21.9
161,EURUSD,LONG,RECONCILIATION,0,1.1,-9.5,SL,-9.5,SL,5.5,-10.6,-10.6
163,EURUSD,SHORT,RECONCILIATION,0,0.0,-20.6,SL,-20.6,SL,0.0,-20.6,-20.6
164,EURJPY,SHORT,RECONCILIATION,0,10.1,29.4,TP,-27.5,SL,29.7,19.3,-37.6
165,EURJPY,LONG,TIME_STOP,0,-1.5,-31.2,SL,-31.2,SL,15.4,-29.7,-29.7
166,EURAUD,SHORT,TRAILING_STOP,1,32.2,-14.3,SL,-14.3,SL,29.5,-46.5,-46.5
